Condition,Answer
TRACHEAL PAPPILOMATOSIS CT CHEST,TRACHEAL PAPPILOMATOSIS
HEMANGIOBLASTOMA MRI BRAIN AND SPINE,HEMANGIOBLASTOMA
KUMMELLS OSTEONECROSIS XRAY SPINE,KUMMELLS OSTEONECROSIS
ATRETIC PARIETAL ENCEPHALOCELE MRI BRAIN,ATRETIC PARIETAL ENCEPHALOCELE
GASTRIC DIVERTICULUM CT ABDOMEN,GASTRIC DIVERTICULUM
TODDLERS FRACTURE XRAY,TODDLERS FRACTURE
BALLON KHYPHOPLASTY VERSUS VERTEBROPLASTY XRAY SPINE,BALLON KHYPHOPLASTY VERSUS VERTEBROPLASTY
COLOBOMATOUS CYST OF EYE CT,COLOBOMATOUS CYST OF EYE
EWINGS SARCOMA XRAY,EWINGS SARCOMA
STEINSTRASSE XRAY KUB,STEINSTRASSE 
LIPPES LOOP XRAY PELVIS,LIPPES LOOP
FAT PAD SIGN ELBOW LATERAL VIEW OF ELBOW,FAT PAD SIGN ELBOW
PATENT VITELLOINTESTINAL DUCT LUMBILICAL CATHETERISATION,PATENT VITELLOINTESTINAL DUCT
ROBERTS SIGN INFANTOGRAM,ROBERTS SIGN
GRASTROJEJUNAL INTUSSUCEPTION CT ABDOMEN,GRASTROJEJUNAL INTUSSUCEPTION
LIEOTIASIS OSSEA XRAY FACE/PNS,LIEOTIASIS OSSEA
METAPHYSEAL CORNER FRACTURE/BUCKET HANDLE FRACTURE XRAY,METAPHYSEAL CORNER FRACTURE
THROMBOSED BASILAR ARTERY HYPERDENSE ON NCCT,THROMBOSED BASILAR ARTERY HYPERDENSE
INGUINOSCROTAL HERNIA XRAY,INGUINOSCROTAL HERNIA
THYMOLIPOMA CT CHEST AND MRI,THYMOLIPOMA
PDA CLOSURE DEVICE AMPLATZ+XRAY,PDA CLOSURE DEVICE
